Institution Address,Latitude,Longitude
1001 Queen St W,43.6430326,-79.4186392
3276 St Clair Ave E - Balsam & Maple,,
5935 Bathurst St,43.7818272,-79.444486
1001 Queen St W - 80 Workman Way - 2nd Fl GAU-A,,
2311 McNicoll Ave,43.8143025,-79.2904274
2005 Lawrence Ave W - 1st Fl,,
14 St Matthews Rd,43.6665464,-79.3545801
3760 Sheppard Ave E,43.7828345,-79.2938789
66 Roncesvalles Ave,43.6404564,-79.4477866
122 Tyndall Ave,43.6375285,-79.4293156
305 Balliol St,43.698952,-79.3869118
3050 Lawrence Ave E - CP1,,
1340 York Mills Rd,43.763076,-79.3203424
3595 Keele St,43.7510264,-79.4856733
306 Finch Ave E,43.7850168,-79.3940478
52 Neilson Dr,43.6291114,-79.5657079
2030 Mcnicoll Ave,43.8130315,-79.3000348
767 Royal York Rd,43.6377449,-79.5067417
150 Dunn Ave,43.6366163,-79.4341154
1001 Queen St W - Unit 2-4,,
25 Brunswick Ave,43.6584431,-79.4038326
123 Spadina Rd,43.6717072,-79.4054122
15 Barbery Pl,,
60 Scottfield Dr - 3rd & 5th Fl,,
8 Donway Pl E,43.7346103,-79.3408873
550 University Ave - 6 South,,
3705 Bathurst St,43.7353207,-79.433131
1238 Queen St E,43.6636726,-79.3298411
2005 Lawrence Ave W,43.701037,-79.510078
610 University Ave,43.6581636,-79.3906322
718 Sheppard Ave W,43.7543865,-79.4453762
5758 Sheppard Ave E,43.7953012,-79.2318586
43 Wellesley St E - 17E Holland Centre,,
4005 Eglinton Ave W,43.6833622,-79.516936
3838 Bloor St W,43.6413436,-79.5388913
3015 Lawrence Ave E - 1st & 2nd Fl,,
215 Tyrrell Ave,,
3555 Kingston Rd,43.7387915,-79.216648
2339 Dufferin St - TCP & RIU,,
260 Bayview Ave,43.6971391,-79.3717946
2881 Eglinton Ave E,43.738121,-79.2398504
262 St Clair Ave E,43.6904379,-79.3836022
2100 Bloor St W,43.6524038,-79.4711165
3276 St Clair Ave E - F3 East,,
